#,Player,Group,Team,Matches,Catches,WK Catches,Direct RO,InDirect RO,Stumpings,Total,Points
107,Deepesh Naidu,A,Mercer Challengers,13,3,4,1,1,0,9,100
108,Milan Dave,A,Jersey Titans,10,4,0,2,3,0,9,110
109,Balu Y,A,Youth For Sewa,14,9,0,0,0,0,9,90
110,Vinoth Suseendran,A,Nj Braves,13,8,1,0,0,0,9,90
111,Monang Shah,A,Sreeshti,11,9,0,0,0,0,9,90
112,Jay Patel (JP),A,Blasters,6,6,1,0,2,0,9,90
113,Parth Patel,A,Gcc,15,8,0,0,1,0,9,90
114,Jay Trivedi,B,11spartans,12,8,0,0,1,0,9,90
115,Madhur Kaushik,B,Jersey Boys,11,4,0,1,4,0,9,100
116,Vinod Kannan,B,F5,11,3,2,3,0,0,8,110
117,Harikishore Malireddy,B,WCC,13,4,0,3,1,0,8,110
118,Rumit Patel,A,Warriors,12,6,0,2,0,0,8,100
119,Mahesh Nagappa,A,Sreeshti,14,6,0,2,0,0,8,100
120,Jenish Shah,A,Nj Braves,14,6,0,2,0,0,8,100
121,Faizan Januja,A,PUNJAB XI,9,1,7,0,0,0,8,80
122,Gaurav Darji,A,Jersey Titans,12,3,5,0,0,0,8,80
123,Aman Deshmukh,B,Fdu Giants,9,8,0,0,0,0,8,80
124,Eswar Vennapusa,A,Youth For Sewa,14,8,0,0,0,0,8,80
125,Vasu Elluri,A,Mercer Challengers,7,8,0,0,0,0,8,80
126,Lokesh Prabakaran,A,Plainsboro Knights,13,8,0,0,0,0,8,80
127,Naveen R Sripathi,A,Samudhra Gladiators,14,7,0,1,0,0,8,90
128,Subodh Singh,B,Gryffindors,13,6,1,1,0,0,8,90
129,Parth Patel,A,Gujarat United XI,8,7,0,1,0,0,8,90
130,Dheeraj Dubey,B,Blue Aces CC,14,7,0,1,0,0,8,90
131,Fenil Shah,B,Jersey Boys,12,7,0,1,0,0,8,90
132,Karan Patel,A,Gujarat United XI,13,6,1,1,0,0,8,90
133,Emmanuel Samuel Nair,A,Newport CC,12,7,0,1,0,0,8,90
134,Pratik Mane,A,Hudson Hurricanes,11,7,0,1,0,0,8,90
135,Sai Sudhan,B,WCC,10,7,0,1,0,0,8,90
136,Niraj Patel,B,Piscataway Avengers,14,4,3,0,0,1,8,90
137,Vijay Gore,B,Nj Stars CC,7,7,0,1,0,0,8,90
138,Hassan Anjum,A,Team Highlanders,11,3,4,0,0,1,8,90
139,Rajan Patel,B,11spartans,10,5,1,1,1,0,8,90
140,Bharath Reddy,B,Plainsboro Eagles,13,6,0,1,1,0,8,90
141,Rishabh Tewari,A,Storm Riders,14,8,0,0,0,0,8,80
142,Deep Patel,B,SAMP XI,11,6,2,0,0,0,8,80
143,Nish Patel,A,Pway Lions,10,8,0,0,0,0,8,80
144,Shubham Pawar,A,Hudson Hurricanes,13,8,0,0,0,0,8,80
145,Dharmik Patel,A,Warriors,11,8,0,0,0,0,8,80
146,Urjit Patel (gcc),A,Gcc,14,8,0,0,0,0,8,80
147,Abhi Patel,B,SAMP XI,7,1,7,0,0,0,8,80
148,Ravi Kanth,A,Team Highlanders,13,8,0,0,0,0,8,80
149,Srikant P,B,Edison Rebelz,12,8,0,0,0,0,8,80
150,Sabeel Shaikh,A,Storm Riders,12,8,0,0,0,0,8,80
151,Shobhit Gupta,A,Storm Riders,14,7,0,0,1,0,8,80
152,sairam Raavi,A,Falcons,13,3,1,3,0,0,7,100
153,Kiran Kumar,B,Plainsboro Eagles,8,1,5,1,0,0,7,80
154,Zoheb Khalid,B,Rowdy Rebels,12,6,0,1,0,0,7,80
155,Rohith Reddy,A,Youth For Sewa,13,2,3,2,0,0,7,90
156,Dhaval Patel,A,Gcc,11,4,1,1,1,0,7,80
157,sai Charan,A,Newport CC,9,5,0,1,1,0,7,80
158,Shravan Manne,A,Falcons,14,7,0,0,0,0,7,70
159,Diwakar Sh,B,Veerans,8,1,6,0,0,0,7,70
160,Jinal Jolly,B,F5,8,7,0,0,0,0,7,70
161,Dhaivat Patel,A,Pway Lions,12,4,3,0,0,0,7,70
162,Sravan Nekkanti,A,Hudson Hurricanes,15,6,0,1,0,0,7,80
163,Sahil Patel,A,Gcc,14,6,0,1,0,0,7,80
164,Harshad Patil,A,Samudhra Gladiators,15,6,0,1,0,0,7,80
165,Deepan Sunny Chauhan,B,Jetha 11,10,3,3,0,0,1,7,80
166,Aniket Dalal,A,Hudson Hurricanes,15,6,0,1,0,0,7,80
167,Arun Wagle,A,Hudson Hurricanes,10,6,0,1,0,0,7,80
168,Kishan Patel,B,Gryffindors,10,5,0,1,1,0,7,80
169,Lakshman Rajulapati,A,Falcons,7,7,0,0,0,0,7,70
170,Rizwan Ahmed,A,PUNJAB XI,10,7,0,0,0,0,7,70
171,Gopi Sendurapandian,B,Veerans,14,4,3,0,0,0,7,70
172,Rahil Shah,A,RHG,14,7,0,0,0,0,7,70
173,Vinit Bharadwaj,A,Samudhra Gladiators,12,6,1,0,0,0,7,70
174,Parth Shah,B,Jersey Boys,10,7,0,0,0,0,7,70
175,Tushar Choksi,B,Plainsboro Eagles,11,7,0,0,0,0,7,70
176,Raghuraman Varadharajan,A,Plainsboro Knights,13,7,0,0,0,0,7,70
177,Baseer Ahmed Mohammed,A,RHG,13,6,1,0,0,0,7,70
178,Shailesh Khadapkar,B,Edison Rebelz,11,7,0,0,0,0,7,70
179,Vraj Shah,A,Pway Lions,8,5,2,0,0,0,7,70
180,Allan Dabre,B,Aryans,14,5,2,0,0,0,7,70
181,Raghav Sehgal,B,WCC,8,2,3,0,2,0,7,70
182,Rakesh Kar,A,Desi Warriors,15,4,0,1,2,0,7,80
183,Vikasreddy Rangapur,B,Parsippany Phoenix XI,13,1,3,1,2,0,7,80
184,Komal(KC) Patel,A,Jersey Titans,9,6,0,0,1,0,7,70
185,Sohil Kothari,B,Gryffindors,12,6,0,0,1,0,7,70
186,Mrugesh Patel,A,Gcc,14,6,0,0,1,0,7,70
187,Satish Sarode,A,Storm Riders,11,6,0,0,1,0,7,70
188,Ankit Patel,B,Gryffindors,12,3,0,3,0,0,6,90
189,Rizwan Bajwa,B,Maha CC,11,3,0,3,0,0,6,90
190,Zeeshan Raja,B,Nj Stars CC,4,3,2,1,0,0,6,70
191,Kailash Naithani,B,Juggernaut,14,4,0,2,0,0,6,80
192,Sourabh Guha,B,Aryans,13,4,0,2,0,0,6,80
193,Abhishek Patel,A,Warriors,14,3,3,0,0,0,6,60
194,Preet Suthar,A,Blasters,8,6,0,0,0,0,6,60
195,Sandeep Mistry,B,Edison Rebelz,13,2,4,0,0,0,6,60
196,Syam Pandya,B,Jetha 11,7,0,6,0,0,0,6,60
197,Nisarg Patel,B,SAMP XI,6,5,1,0,0,0,6,60
198,Nisar Ahmad,B,WCC,11,5,0,1,0,0,6,70
199,Thulasi Thota,B,F5,12,5,0,1,0,0,6,70
200,Vikul Rajpara,B,Jersey Boys,15,5,0,1,0,0,6,70
