#,Player,Group,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb,Points
159,Narendra Edumudi,B,Firehawks,13,14,32.4,254,15,14/ 2,0,79,7.78,16.93,13.1,0,0,0,22,7,331
160,Sonu Sharma,B,Jersey Aces,10,10,30.5,246,15,20/ 5,0,87,7.98,16.40,12.3,0,0,1,21,0,329
161,Santosh Thanekar,B,Sinclair Lions,6,6,22.4,81,14,15/ 4,2,87,3.57,5.79,9.7,0,1,0,6,1,367
162,Axat Patel,C,Kranti Warriors,6,6,22.4,81,14,5/ 5,0,90,3.57,5.79,9.7,0,1,1,14,0,344
163,Karan N,D,Plainsboro Panthers,11,10,29.1,117,14,9/ 4,2,111,4.01,8.36,12.5,0,1,0,12,4,372
164,Jitendra Singh,C,Jersey Superstars,9,9,18.2,74,14,17/ 4,2,72,4.04,5.29,7.9,0,1,0,11,0,356
165,sandeep shetty,A,VRK Gladiators,10,9,22.3,91,14,7/ 3,0,89,4.04,6.50,9.6,0,0,0,17,0,347
166,Malav Shah,C,Waterfront Warriors,11,11,34.2,163,14,11/ 3,1,122,4.75,11.64,14.7,0,0,0,17,1,364
167,Girish Shukla,B,Jersey Aces,5,5,19.0,96,14,18/ 4,1,60,5.05,6.86,8.1,0,2,0,3,0,341
168,Rashik Mohamed,D,TRIDENTS XI,10,9,24.0,123,14,27/ 4,0,86,5.12,8.79,10.3,0,1,0,10,3,333
169,Hemal Makadia,C,Monroe United,8,8,26.5,140,14,6/ 5,1,102,5.22,10.00,11.5,0,0,1,11,2,355
170,Chandra Sekhar Mutha,D,Bayonne CC,12,11,38.1,200,14,11/ 2,1,138,5.24,14.29,16.4,0,0,0,20,3,357
171,Jay Soni,C,Iselin Warriors,12,11,31.0,164,14,16/ 4,1,111,5.29,11.71,13.3,0,1,0,8,1,358
172,Amandeep Bawa,B,Express Rangers,11,11,36.1,199,14,11/ 4,1,123,5.50,14.21,15.5,0,1,0,15,4,351
173,VC Uttez Chitluri,C,Thunder Strikers Weekenders,13,10,25.0,138,14,9/ 2,1,88,5.52,9.86,10.7,0,0,0,14,0,342
174,Ronak Patel,B,Giant Slayers,11,10,25.0,138,14,12/ 3,1,85,5.52,9.86,10.7,0,0,0,17,1,346
175,Nisarg Bhavsar,C,Saffron Sapphire,13,11,29.2,163,14,5/ 2,1,115,5.56,11.64,12.6,0,0,0,28,1,353
176,Abbas Zaidi,B,Sreeshti Weekenders,13,13,34.4,195,14,2/ 3,1,114,5.62,13.93,14.9,0,0,0,14,1,352
177,Dinesh Bhuteja,A,Em Sports Club,8,8,30.0,177,14,12/ 3,1,110,5.90,12.64,12.9,0,0,0,8,6,340
178,Rajeev Kumar,A,Pmcc,14,14,36.1,220,14,13/ 2,0,120,6.08,15.71,15.5,0,0,0,25,1,320
179,Utsav Patel,C,Lincoln XI,13,12,33.0,208,14,20/ 3,1,116,6.30,14.86,14.1,0,0,0,28,0,333
180,Radhakrishna Kondapalli,C,Monroe United,9,9,31.5,202,14,16/ 3,0,117,6.35,14.43,13.6,0,0,0,25,1,314
181,Amrish Kumar,B,Jersey Aces,10,10,29.1,187,14,32/ 4,1,85,6.41,13.36,12.5,1,1,0,9,4,339
182,Sakthivel Veeramuthu,D,Bayonne CC,11,11,29.2,190,14,22/ 4,0,88,6.48,13.57,12.6,0,1,0,7,0,326
183,Shubham Bhutada,D,Newport Narcos,11,11,34.0,223,14,14/ 3,1,108,6.56,15.93,14.6,0,0,0,25,3,329
184,Anup Gondkar,A,Phoenix Flyers,12,9,17.0,112,14,8/ 4,1,51,6.59,8.00,7.3,0,2,0,9,2,337
185,Soumyabrata Paul,A,Karma XI,10,9,28.2,192,14,15/ 3,0,89,6.78,13.71,12.1,0,0,0,22,3,316
186,Sukumar Paturi,C,NJKnights,12,11,33.2,243,14,16/ 3,0,94,7.29,17.36,14.3,0,0,0,9,4,309
187,Drumil Amin,B,Pway Cubs,7,6,15.0,43,13,2/ 5,1,59,2.87,3.31,6.9,0,0,1,4,0,343
188,Tejas Patel(26),B,United Falcons,7,7,25.0,74,13,14/ 4,0,111,2.96,5.69,11.5,0,1,0,7,2,322
189,Harsh Shukla,A,Mag11,9,8,19.1,66,13,8/ 3,3,74,3.44,5.08,8.8,0,0,0,2,1,361
190,NIKHIL THOTA,B,Plainsboro Hunters,10,9,30.0,124,13,18/ 3,0,113,4.13,9.54,13.8,0,0,0,13,0,326
191,Mohit Jain,A,Hudson Hurricanes Sultans,7,7,24.4,110,13,5/ 4,1,93,4.46,8.46,11.4,0,1,0,5,1,332
192,Jay Patel,C,Saffron Sapphire,5,4,16.0,74,13,17/ 6,1,65,4.62,5.69,7.4,0,0,1,21,0,314
193,Naveen Natarajan,A,Mag11,11,9,30.5,147,13,6/ 4,1,123,4.77,11.31,14.2,1,1,0,16,3,338
194,Siddhant Kumar,C,Waterfront Warriors,9,9,25.0,136,13,12/ 4,1,93,5.44,10.46,11.5,0,1,0,17,4,326
195,Sidd Chou,C,Telugu Titans - Weekenders,11,7,24.0,132,13,12/ 5,0,80,5.50,10.15,11.1,0,0,1,15,0,308
196,Vamsi Krish Sanneboina,D,Parsippany Super Kings,7,7,25.2,145,13,21/ 4,2,84,5.72,11.15,11.7,0,1,0,21,0,331
197,Roop Yekollu,D,Sparta XI,14,11,32.1,190,13,17/ 3,1,98,5.91,14.62,14.8,0,0,0,11,1,320
198,Ashok Kumar Gurram,B,Troy Titans,7,7,24.0,142,13,10/ 3,0,79,5.92,10.92,11.1,0,0,0,9,1,298
199,Sivakumar Arumugam,C,Edison Kings,13,9,22.0,132,13,22/ 4,0,69,6.00,10.15,10.2,0,1,0,16,1,303
200,Srinath Nathan,A,GoldFinch Cricket Club,12,10,28.0,169,13,11/ 2,0,86,6.04,13.00,12.9,0,0,0,33,5,305
