match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1439785,1,14,6,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,0,0,0,no run,0,,,113/2
1439785,1,15,1,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Manimaran Siddharth,0,0,0,out,1,caught,Sudhan Sanjeevi Kandepan,113/3
1439785,1,15,2,Sunny Sandhu,Rajendran Vivek,Manimaran Siddharth,0,0,0,no run,0,,,113/3
1439785,1,15,3,Sunny Sandhu,Rajendran Vivek,Manimaran Siddharth,1,1,0,run,0,,,114/3
1439785,1,15,4,Rajendran Vivek,Sunny Sandhu,Manimaran Siddharth,0,0,0,no run,0,,,114/3
1439785,1,15,5,Rajendran Vivek,Sunny Sandhu,Manimaran Siddharth,0,0,0,no run,0,,,114/3
1439785,1,15,6,Rajendran Vivek,Sunny Sandhu,Manimaran Siddharth,0,0,0,no run,0,,,114/3
1439785,1,16,1,Sunny Sandhu,Rajendran Vivek,Jhathavedh Subramanyan,1,1,0,run,0,,,115/3
1439785,1,16,2,Rajendran Vivek,Sunny Sandhu,Jhathavedh Subramanyan,1,1,0,run,0,,,116/3
1439785,1,16,3,Sunny Sandhu,Rajendran Vivek,Jhathavedh Subramanyan,1,1,0,run,0,,,117/3
1439785,1,16,4,Rajendran Vivek,Sunny Sandhu,Jhathavedh Subramanyan,0,0,0,out,1,caught,Rajendran Vivek,117/4
1439785,1,16,5,S Harish Kumar,Sunny Sandhu,Jhathavedh Subramanyan,0,0,0,no run,0,,,117/4
1439785,1,16,6,S Harish Kumar,Sunny Sandhu,Jhathavedh Subramanyan,1,1,0,run,0,,,118/4
1439785,1,17,1,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,1,0,1,wide,0,,,119/4
1439785,1,17,2,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,119/4
1439785,1,17,3,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,1,1,0,run,0,,,120/4
1439785,1,17,4,Sunny Sandhu,S Harish Kumar,K Gowtham Thamarai Kannan,1,1,0,run,0,,,121/4
1439785,1,17,5,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,6,6,0,six,0,,,127/4
1439785,1,17,6,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,4,4,0,four,0,,,131/4
1439785,1,17,7,S Harish Kumar,Sunny Sandhu,K Gowtham Thamarai Kannan,6,6,0,six,0,,,137/4
1439785,1,18,1,Sunny Sandhu,S Harish Kumar,M Mohammed,0,0,0,no run,0,,,137/4
1439785,1,18,2,Sunny Sandhu,S Harish Kumar,M Mohammed,0,0,0,no run,0,,,137/4
1439785,1,18,3,Sunny Sandhu,S Harish Kumar,M Mohammed,1,0,1,leg bye,0,,,138/4
1439785,1,18,4,S Harish Kumar,Sunny Sandhu,M Mohammed,4,4,0,four,0,,,142/4
1439785,1,18,5,S Harish Kumar,Sunny Sandhu,M Mohammed,6,6,0,six,0,,,148/4
1439785,1,18,6,S Harish Kumar,Sunny Sandhu,M Mohammed,1,0,1,leg bye,0,,,149/4
1439785,1,19,1,S Harish Kumar,Sunny Sandhu,Valliappan Yudheeswaran,1,0,1,wide,0,,,150/4
1439785,1,19,2,S Harish Kumar,Sunny Sandhu,Valliappan Yudheeswaran,0,0,0,no run,0,,,150/4
1439785,1,19,3,S Harish Kumar,Sunny Sandhu,Valliappan Yudheeswaran,0,0,0,no run,0,,,150/4
1439785,1,19,4,S Harish Kumar,Sunny Sandhu,Valliappan Yudheeswaran,1,1,0,run,0,,,151/4
1439785,1,19,5,Sunny Sandhu,S Harish Kumar,Valliappan Yudheeswaran,0,0,0,no run,0,,,151/4
1439785,1,19,6,Sunny Sandhu,S Harish Kumar,Valliappan Yudheeswaran,1,0,1,wide,0,,,152/4
1439785,1,19,7,Sunny Sandhu,S Harish Kumar,Valliappan Yudheeswaran,1,0,1,wide,0,,,153/4
1439785,1,19,8,Sunny Sandhu,S Harish Kumar,Valliappan Yudheeswaran,4,4,0,four,0,,,157/4
1439785,1,19,9,Sunny Sandhu,S Harish Kumar,Valliappan Yudheeswaran,0,0,0,no run,0,,,157/4
1439785,1,20,1,S Harish Kumar,Sunny Sandhu,M Mohammed,0,0,0,no run,0,,,157/4
1439785,1,20,2,S Harish Kumar,Sunny Sandhu,M Mohammed,6,6,0,six,0,,,163/4
1439785,1,20,3,S Harish Kumar,Sunny Sandhu,M Mohammed,0,0,0,no run,0,,,163/4
1439785,1,20,4,S Harish Kumar,Sunny Sandhu,M Mohammed,0,0,0,no run,0,,,163/4
1439785,1,20,5,S Harish Kumar,Sunny Sandhu,M Mohammed,6,6,0,six,0,,,169/4
1439785,1,20,6,S Harish Kumar,Sunny Sandhu,M Mohammed,1,0,1,wide,0,,,170/4
1439785,1,20,7,S Harish Kumar,Sunny Sandhu,M Mohammed,1,1,0,run,0,,,171/4
1439785,2,1,1,S Sujay,Jayaraman Suresh Kumar,ME Yazh Arun Mozhi,1,1,0,run,0,,,1/0
1439785,2,1,2,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,1,1,0,run,0,,,2/0
1439785,2,1,3,S Sujay,Jayaraman Suresh Kumar,ME Yazh Arun Mozhi,0,0,0,no run,0,,,2/0
1439785,2,1,4,S Sujay,Jayaraman Suresh Kumar,ME Yazh Arun Mozhi,1,1,0,run,0,,,3/0
1439785,2,1,5,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,3/0
1439785,2,1,6,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,3/0
1439785,2,2,1,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,4,4,0,four,0,,,7/0
