season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2026,RA Jadeja,Rajasthan Royals,5.78,11,11,266,24.2,20.0,135.0,140.5,0.55,-0.81,-1.13,0.46,-0.24,21
2026,SE Rutherford,Mumbai Indians,5.81,7,7,123,17.6,5.0,164.0,191.7,-0.46,0.59,0.3,-1.41,-0.25,22
2026,D Brevis,Chennai Super Kings,4.86,8,8,151,18.9,15.5,128.0,181.0,-0.26,-1.16,-0.0,-0.1,-0.38,23
2026,HH Pandya,Mumbai Indians,5.66,10,10,206,20.6,18.0,138.3,135.6,0.0,-0.66,-1.27,0.21,-0.43,24
2026,S Arora,Sunrisers Hyderabad,6.23,10,10,121,12.1,9.5,157.1,183.3,-1.29,0.26,0.06,-0.85,-0.46,25
2026,Abdul Samad,Lucknow Super Giants,5.93,7,7,116,16.6,16.0,131.8,163.6,-0.61,-0.97,-0.49,-0.04,-0.53,26
2026,MD Choudhary,Lucknow Super Giants,6.68,10,10,170,17.0,13.5,141.7,149.4,-0.55,-0.49,-0.88,-0.35,-0.57,27
2026,T Stubbs,Delhi Capitals,5.48,13,13,275,21.2,12.0,127.3,142.7,0.09,-1.19,-1.07,-0.54,-0.68,28
2026,Aniket Verma,Sunrisers Hyderabad,6.23,8,8,79,9.9,4.0,146.3,190.9,-1.63,-0.27,0.28,-1.54,-0.79,29
2026,R Tewatia,Gujarat Titans,6.27,15,15,190,12.7,8.0,143.9,154.2,-1.21,-0.38,-0.75,-1.04,-0.84,30
2026,AR Patel,Delhi Capitals,5.05,11,11,173,15.7,2.0,131.1,155.2,-0.74,-1.01,-0.72,-1.79,-1.06,31
2026,JM Sharma,Royal Challengers Bengaluru,5.88,12,12,116,9.7,10.0,122.1,131.0,-1.67,-1.44,-1.4,-0.79,-1.32,32
2026,JO Holder,Gujarat Titans,6.16,7,7,65,9.3,7.0,125.0,135.9,-1.72,-1.3,-1.26,-1.16,-1.36,33
2026,SO Hetmyer,Rajasthan Royals,5.04,7,7,78,11.1,11.0,113.0,121.1,-1.44,-1.88,-1.67,-0.66,-1.41,34
