season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2011,A Symonds,Mumbai Indians,5.294,9,9,135,15.0,8.0,97.8261,130.1587
2011,AA Jhunjhunwala,Pune Warriors,4.316,2,2,10,5.0,5.0,55.5556,0.0
2011,AB McDonald,Delhi Daredevils,7.0,1,1,8,8.0,8.0,114.2857,114.2857
2011,AB de Villiers,Royal Challengers Bangalore,4.173,13,13,312,24.0,21.0,128.3951,182.8125
2011,AJ Finch,Delhi Daredevils,4.49,6,6,47,7.8333,5.5,102.1739,168.75
2011,AL Menaria,Rajasthan Royals,4.589,10,10,180,18.0,21.5,118.4211,105.2632
2011,AM Nayar,Kings XI Punjab,5.015,9,9,61,6.7778,3.0,91.0448,138.4615
2011,AM Rahane,Rajasthan Royals,4.343,7,7,120,17.1429,15.0,122.449,105.5556
2011,AS Raut,Rajasthan Royals,6.237,4,4,60,15.0,15.0,103.4483,96.5517
2011,AUK Pathan,Royal Challengers Bangalore,4.667,5,5,33,6.6,7.0,206.25,171.4286
2011,B Akhil,Kochi Tuskers Kerala,7.0,1,1,13,13.0,13.0,144.4444,0.0
2011,B Chipli,Deccan Chargers,4.192,13,13,207,15.9231,10.0,121.7647,181.8182
2011,BJ Hodge,Kochi Tuskers Kerala,4.522,14,14,285,20.3571,21.5,120.7627,174.0
2011,Bipul Sharma,Kings XI Punjab,7.0,3,3,23,7.6667,6.0,127.7778,127.7778
2011,CA Pujara,Royal Challengers Bangalore,6.625,3,3,34,11.3333,7.0,109.6774,130.0
2011,CJ Ferguson,Pune Warriors,4.946,4,4,48,12.0,13.0,88.8889,141.6667
2011,CL White,Deccan Chargers,4.477,6,6,104,17.3333,14.0,95.4128,128.5714
2011,DB Ravi Teja,Deccan Chargers,4.211,9,9,183,20.3333,14.0,127.0833,147.3684
2011,DJ Bravo,Chennai Super Kings,7.0,2,2,11,5.5,5.5,183.3333,300.0
2011,DJ Hussey,Kings XI Punjab,5.246,8,8,64,8.0,3.5,101.5873,122.7273
2011,DT Christian,Deccan Chargers,5.634,13,13,190,14.6154,14.0,119.4969,137.931
2011,Harbhajan Singh,Mumbai Indians,5.419,8,8,103,12.875,11.5,145.0704,171.4286
2011,Harpreet Singh,Pune Warriors,5.1,2,2,14,7.0,7.0,70.0,80.0
2011,I Malhotra,Deccan Chargers,7.0,1,1,7,7.0,7.0,175.0,175.0
2011,IK Pathan,Delhi Daredevils,5.308,12,12,150,12.5,10.5,108.6957,160.3175
2011,JA Morkel,Chennai Super Kings,5.685,12,12,138,11.5,9.0,135.2941,139.3258
2011,JDP Oram,Rajasthan Royals,7.0,1,1,0,0.0,0.0,0.0,
2011,JEC Franklin,Mumbai Indians,4.962,5,5,107,21.4,16.0,137.1795,180.5556
2011,JP Duminy,Deccan Chargers,4.295,10,10,205,20.5,17.5,117.8161,142.8571
2011,JR Hopes,Delhi Daredevils,4.79,8,8,196,24.5,17.0,124.0506,140.0
2011,KA Pollard,Mumbai Indians,5.709,12,12,146,12.1667,13.0,109.7744,140.0
2011,KB Arun Karthik,Royal Challengers Bangalore,6.75,2,2,7,3.5,3.5,87.5,
2011,KD Karthik,Kings XI Punjab,4.173,13,13,282,21.6923,21.0,128.1818,127.1186
2011,KM Jadhav,Kochi Tuskers Kerala,6.826,4,4,18,4.5,3.0,78.2609,60.0
2011,LA Pomersbach,Royal Challengers Bangalore,3.902,4,4,51,12.75,10.0,130.7692,70.0
2011,LR Shukla,Kolkata Knight Riders,7.0,1,1,14,14.0,14.0,140.0,140.0
2011,LRPL Taylor,Rajasthan Royals,4.854,11,11,181,16.4545,13.0,119.0789,161.5385
2011,M Kaif,Royal Challengers Bangalore,5.686,4,4,41,10.25,11.5,124.2424,122.2222
2011,M Manhas,Pune Warriors,4.234,10,10,114,11.4,7.5,92.6829,115.0
2011,MD Mishra,Pune Warriors,4.8,5,5,67,13.4,9.0,111.6667,142.1053
2011,MK Tiwary,Kolkata Knight Riders,4.012,13,13,359,27.6154,30.0,110.4615,136.0656
2011,MS Dhoni,Chennai Super Kings,4.68,13,13,392,30.1538,26.0,158.7045,205.4264
2011,MV Boucher,Kolkata Knight Riders,6.0,2,2,6,3.0,3.0,100.0,125.0
2011,Mandeep Singh,Kings XI Punjab,6.19,5,5,47,9.4,8.0,114.6341,121.2121
2011,NL McCullum,Pune Warriors,7.0,2,2,26,13.0,13.0,118.1818,117.6471
2011,OA Shah,Kochi Tuskers Kerala,5.188,2,2,26,13.0,13.0,173.3333,173.3333
2011,PR Shah,Rajasthan Royals,6.0,1,1,5,5.0,5.0,100.0,
2011,R McLaren,Kings XI Punjab,6.644,4,4,90,22.5,18.5,93.75,122.8571
2011,R Sathish,Mumbai Indians,6.429,3,3,25,8.3333,7.0,73.5294,105.2632
2011,RA Jadeja,Kochi Tuskers Kerala,5.389,12,12,283,23.5833,23.0,124.1228,137.3134
2011,RG Sharma,Mumbai Indians,4.128,13,13,372,28.6154,18.0,125.2525,173.0769
2011,RN ten Doeschate,Kolkata Knight Riders,6.171,3,3,107,35.6667,19.0,146.5753,162.5
2011,RV Gomez,Kochi Tuskers Kerala,6.904,8,8,46,5.75,1.5,92.0,106.9767
2011,RV Uthappa,Pune Warriors,4.567,13,13,264,20.3077,22.0,126.3158,150.0
2011,S Badrinath,Chennai Super Kings,3.931,12,12,396,33.0,26.5,126.5176,165.7895
2011,S Rana,Pune Warriors,7.0,1,1,18,18.0,18.0,112.5,130.7692
2011,S Sriram,Delhi Daredevils,4.0,1,1,4,4.0,4.0,57.1429,
2011,SB Styris,Chennai Super Kings,6.0,1,1,5,5.0,5.0,250.0,250.0
2011,SD Chitnis,Kings XI Punjab,7.0,1,1,9,9.0,9.0,100.0,100.0
2011,SS Tiwary,Royal Challengers Bangalore,5.138,13,13,187,14.3846,13.0,99.4681,129.1139
2011,STR Binny,Rajasthan Royals,4.677,2,2,37,18.5,18.5,119.3548,100.0
2011,Shakib Al Hasan,Kolkata Knight Riders,6.826,3,3,29,9.6667,2.0,131.8182,122.2222
2011,Sunny Singh,Kings XI Punjab,5.581,5,5,43,8.6,5.0,138.7097,77.7778
2011,TL Suman,Mumbai Indians,4.887,6,6,65,10.8333,4.5,127.451,113.3333
2011,TR Birt,Delhi Daredevils,5.847,5,5,75,15.0,16.0,129.3103,162.1622
2011,UBT Chand,Delhi Daredevils,3.833,2,2,2,1.0,1.0,16.6667,
2011,WP Saha,Chennai Super Kings,5.0,2,2,68,34.0,34.0,107.9365,180.0
2011,Y Nagar,Delhi Daredevils,5.787,10,10,111,11.1,10.5,111.0,157.8947
2011,Y Venugopal Rao,Delhi Daredevils,5.13,14,14,336,24.0,25.0,120.0,176.7857
