season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2012,KA Pollard,159,220,6.018867924528302,11,1,Finisher (6+)
2012,KC Sangakkara,184,200,3.0869565217391304,12,0,Middle Order (4-5)
2012,KD Karthik,213,238,4.234741784037559,14,1,Middle Order (4-5)
2012,KP Pietersen,207,305,3.0,8,0,Top Order (3)
2012,LR Shukla,57,75,6.754385964912281,7,1,Finisher (6+)
2012,LRPL Taylor,171,197,4.619883040935672,12,1,Middle Order (4-5)
2012,M Manhas,96,120,6.25,7,0,Finisher (6+)
2012,M Vijay,267,336,1.5280898876404494,13,1,Opener (1-2)
2012,MA Agarwal,158,225,3.6202531645569622,12,0,Middle Order (4-5)
2012,MEK Hussey,236,261,1.38135593220339,8,1,Opener (1-2)
2012,MK Pandey,112,143,2.3660714285714284,9,0,Top Order (3)
2012,MK Tiwary,246,260,4.373983739837398,15,1,Middle Order (4-5)
2012,MN Samuels,123,124,3.967479674796748,8,0,Middle Order (4-5)
2012,MS Bisla,160,213,2.375,7,1,Top Order (3)
2012,MS Dhoni,278,358,4.719424460431655,17,1,Middle Order (4-5)
2012,Mandeep Singh,342,432,2.242690058479532,16,0,Top Order (3)
2012,N Saini,141,140,2.1631205673758864,10,0,Top Order (3)
2012,NV Ojha,224,255,3.919642857142857,16,1,Middle Order (4-5)
2012,OA Shah,256,340,4.1640625,13,0,Middle Order (4-5)
2012,P Kumar,30,35,9.6,7,0,Finisher (6+)
2012,PA Patel,165,194,2.806060606060606,12,0,Top Order (3)
2012,PP Chawla,88,106,6.943181818181818,12,0,Finisher (6+)
2012,R Dravid,412,462,1.0,16,0,Opener (1-2)
2012,R Vinay Kumar,62,68,7.983870967741935,7,0,Finisher (6+)
2012,RA Jadeja,151,191,5.576158940397351,14,1,Finisher (6+)
2012,RG Sharma,342,433,3.0409356725146197,16,1,Middle Order (4-5)
2012,RV Uthappa,343,405,3.0174927113702625,16,0,Middle Order (4-5)
2012,S Badrinath,181,196,3.1270718232044197,9,1,Middle Order (4-5)
2012,S Dhawan,439,569,1.8769931662870158,15,0,Opener (1-2)
2012,SC Ganguly,271,268,3.3505535055350553,15,0,Middle Order (4-5)
2012,SE Marsh,280,336,2.567857142857143,13,0,Top Order (3)
2012,SK Raina,325,441,3.0,18,1,Top Order (3)
2012,SPD Smith,267,362,5.48314606741573,14,0,Finisher (6+)
2012,SR Tendulkar,283,324,1.7809187279151943,13,1,Opener (1-2)
2012,SR Watson,168,255,3.0,7,0,Top Order (3)
2012,SS Tiwary,170,191,4.541176470588235,11,0,Middle Order (4-5)
2012,Shakib Al Hasan,74,91,4.756756756756757,7,1,Middle Order (4-5)
2012,TM Dilshan,261,285,1.6551724137931034,9,0,Opener (1-2)
2012,V Kohli,326,364,2.960122699386503,15,0,Top Order (3)
2012,V Sehwag,307,495,2.013029315960912,16,1,Top Order (3)
2012,Y Nagar,133,153,6.037593984962406,8,0,Finisher (6+)
2012,Y Venugopal Rao,126,132,4.134920634920635,7,1,Middle Order (4-5)
2012,YK Pathan,169,194,5.106508875739645,16,1,Finisher (6+)
2013,A Ashish Reddy,89,125,7.52808988764045,10,0,Finisher (6+)
2013,AB de Villiers,219,360,4.063926940639269,14,0,Middle Order (4-5)
2013,AC Gilchrist,229,294,1.2838427947598254,13,0,Opener (1-2)
2013,AD Mathews,139,172,5.381294964028777,10,0,Finisher (6+)
2013,AJ Finch,336,456,1.9970238095238095,14,0,Opener (1-2)
2013,AM Nayar,73,66,6.684931506849315,9,0,Finisher (6+)
2013,AM Rahane,458,488,2.0,18,1,Opener (1-2)
2013,AT Rayudu,231,265,5.316017316017316,15,1,Finisher (6+)
2013,Azhar Mahmood,154,196,4.298701298701299,10,0,Middle Order (4-5)
2013,B Kumar,71,52,8.788732394366198,9,0,Finisher (6+)
2013,BB Samantray,111,123,5.288288288288288,7,1,Finisher (6+)
2013,BJ Hodge,218,293,5.775229357798165,14,1,Finisher (6+)
2013,BJ Rohrer,140,193,5.242857142857143,8,0,Finisher (6+)
2013,CH Gayle,453,708,1.5253863134657837,16,0,Opener (1-2)
2013,CL White,191,209,3.670157068062827,13,1,Middle Order (4-5)
2013,DA Miller,254,418,4.7362204724409445,12,0,Middle Order (4-5)
2013,DA Warner,323,410,2.891640866873065,16,0,Top Order (3)
2013,DH Yagnik,96,125,5.46875,9,1,Finisher (6+)
2013,DJ Bravo,106,121,5.264150943396227,12,1,Finisher (6+)
2013,DJ Hussey,209,235,4.2009569377990434,11,0,Middle Order (4-5)
2013,DJG Sammy,132,174,5.909090909090909,9,1,Finisher (6+)
2013,DPMD Jayawardene,313,331,1.964856230031949,15,0,Opener (1-2)
2013,DR Smith,341,418,1.0879765395894427,13,1,Opener (1-2)
2013,DW Steyn,36,53,9.222222222222221,8,1,Finisher (6+)
2013,EJG Morgan,240,307,4.645833333333333,13,0,Middle Order (4-5)
2013,G Gambhir,343,406,1.8542274052478134,15,0,Opener (1-2)
2013,GH Vihari,278,241,3.697841726618705,17,1,Middle Order (4-5)
2013,Gurkeerat Singh,95,108,4.957894736842105,9,0,Middle Order (4-5)
2013,Harbhajan Singh,79,116,7.379746835443038,13,1,Finisher (6+)
2013,IK Pathan,152,142,6.5,13,0,Finisher (6+)
2013,JH Kallis,322,311,3.2111801242236027,15,0,Middle Order (4-5)
2013,JP Faulkner,57,57,5.9298245614035086,9,1,Finisher (6+)
2013,KA Pollard,281,420,5.4163701067615655,18,1,Finisher (6+)
2013,KC Sangakkara,136,120,3.4558823529411766,9,0,Middle Order (4-5)
2013,KD Karthik,411,510,3.0145985401459856,19,1,Middle Order (4-5)
2013,KM Jadhav,124,152,6.145161290322581,10,0,Finisher (6+)
2013,KV Sharma,86,85,6.755813953488372,7,1,Finisher (6+)
2013,M Vijay,286,312,1.8251748251748252,15,1,Opener (1-2)
2013,M Vohra,117,161,3.5555555555555554,10,0,Middle Order (4-5)
2013,MC Henriques,125,165,4.8,9,0,Middle Order (4-5)
2013,MC Juneja,128,125,4.0078125,7,0,Middle Order (4-5)
2013,MEK Hussey,566,733,1.3409893992932862,17,1,Opener (1-2)
2013,MK Pandey,137,136,3.153284671532847,7,0,Middle Order (4-5)
2013,MK Tiwary,140,146,4.728571428571429,9,0,Middle Order (4-5)
2013,MR Marsh,106,140,6.018867924528302,8,0,Finisher (6+)
2013,MS Bisla,236,255,1.1228813559322033,14,0,Opener (1-2)
2013,MS Dhoni,283,461,5.07773851590106,16,1,Finisher (6+)
2013,Mandeep Singh,223,260,1.7668161434977578,14,0,Opener (1-2)
2013,NLTC Perera,163,233,5.8343558282208585,14,1,Finisher (6+)
2013,P Kumar,39,47,9.974358974358974,7,0,Finisher (6+)
2013,PA Patel,255,294,1.2352941176470589,13,1,Opener (1-2)
2013,PA Reddy,101,91,1.1683168316831682,7,0,Opener (1-2)
2013,PP Chawla,57,64,7.43859649122807,10,0,Finisher (6+)
2013,R Bhatia,80,99,7.4,10,0,Finisher (6+)
2013,R Dravid,425,471,1.8752941176470588,17,1,Opener (1-2)
2013,R Sathish,77,109,5.883116883116883,8,0,Finisher (6+)
2013,RA Jadeja,135,201,5.962962962962963,14,1,Finisher (6+)
2013,RG Sharma,409,538,4.0733496332518335,19,1,Middle Order (4-5)
2013,RV Uthappa,371,434,1.0242587601078168,16,0,Opener (1-2)
2013,S Badrinath,121,124,4.347107438016529,7,1,Middle Order (4-5)
2013,S Dhawan,253,311,2.0,10,1,Opener (1-2)
2013,SE Marsh,249,300,2.9196787148594376,8,0,Top Order (3)
2013,SK Raina,365,548,3.021917808219178,17,1,Middle Order (4-5)
2013,SPD Smith,132,159,4.621212121212121,7,0,Middle Order (4-5)
2013,SR Tendulkar,231,287,1.9870129870129871,14,0,Opener (1-2)
2013,SR Watson,380,543,2.5078947368421054,16,1,Top Order (3)
2013,STR Binny,199,293,4.959798994974874,16,1,Middle Order (4-5)
2013,SV Samson,178,206,4.331460674157303,10,1,Middle Order (4-5)
2013,UBT Chand,158,158,2.7278481012658227,9,0,Top Order (3)
2013,UT Yadav,38,38,9.868421052631579,7,0,Finisher (6+)
2013,V Kohli,457,634,2.8730853391684903,16,0,Top Order (3)
2013,V Sehwag,233,295,2.3605150214592276,13,0,Top Order (3)
2013,YK Pathan,240,332,4.1625,16,0,Middle Order (4-5)
2013,Yuvraj Singh,190,238,3.6052631578947367,13,0,Middle Order (4-5)
2014,AB de Villiers,249,395,4.742971887550201,13,0,Middle Order (4-5)
2014,AJ Finch,263,309,1.376425855513308,13,0,Opener (1-2)
2014,AM Rahane,291,339,1.2989690721649485,12,0,Opener (1-2)
2014,AP Tare,98,126,3.3469387755102042,11,1,Middle Order (4-5)
2014,AR Patel,60,62,6.483333333333333,7,1,Finisher (6+)
2014,AT Rayudu,287,361,3.3449477351916377,14,1,Middle Order (4-5)
2014,BB McCullum,333,405,2.1621621621621623,14,1,Top Order (3)
2014,CH Gayle,184,196,1.1358695652173914,9,0,Opener (1-2)
2014,CJ Anderson,181,265,4.0,11,1,Middle Order (4-5)
2014,CM Gautam,111,121,3.6396396396396398,9,0,Middle Order (4-5)
