season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2018,Nidhish S Rajagopal,SKM Salem Spartans,4.0,2,2,59,29.5,29.5,147.5,233.3333
2018,P Francis Rokins,VB Kanchi Veerans,5.337,5,5,130,26.0,16.0,144.4444,206.25
2018,Pradosh Ranjan Paul,Lyca Kovai Kings,4.5,2,2,4,2.0,2.0,57.1429,100.0
2018,R Kavin,IDream Tiruppur Tamizhans,5.333,5,5,17,3.4,3.0,68.0,100.0
2018,R Rajkumar,IDream Tiruppur Tamizhans,4.267,7,7,102,14.5714,11.0,137.8378,160.0
2018,RS Mokit Hariharan,VB Kanchi Veerans,4.687,4,4,59,14.75,12.5,89.3939,105.2632
2018,Rajagopal Sathish,SKM Salem Spartans,5.361,7,7,233,33.2857,24.0,182.0312,207.4074
2018,Rajendran Vivek,Dindigul Dragons,3.833,7,7,262,37.4286,42.0,209.6,371.4286
2018,Ramalingam Rohit,Dindigul Dragons,5.419,3,3,74,24.6667,15.0,121.3115,260.0
2018,Ramsingh  Sanjay Yadav,VB Kanchi Veerans,6.29,5,5,85,17.0,12.0,144.0678,173.0769
2018,Ramsingh Sonu Yadav,Trichy Grand Cholas,7.0,3,3,52,17.3333,21.0,130.0,200.0
2018,Ravi Karthikeyan,Siechem Madurai Panthers,4.043,5,5,49,9.8,8.0,104.2553,100.0
2018,Ravi Kumar Rohith,Lyca Kovai Kings,3.87,9,9,113,12.5556,5.0,107.619,211.7647
2018,Ravichandran Ashwin,Dindigul Dragons,5.0,1,1,42,42.0,42.0,150.0,206.6667
2018,S Abishiek,SKM Salem Spartans,4.93,3,3,54,18.0,17.0,135.0,87.5
2018,S Harish Kumar,Chepauk Super Gillies,5.667,5,5,50,10.0,8.0,156.25,226.6667
2018,SP Nathan,Siechem Madurai Panthers,4.0,2,2,12,6.0,6.0,52.1739,50.0
2018,Sathiamoorty Vasanth Saravanan,Trichy Grand Cholas,4.793,3,3,85,28.3333,23.0,157.4074,203.4483
2018,Selvam Suresh Kumar,Trichy Grand Cholas,4.305,7,7,225,32.1429,35.0,131.5789,196.3636
2018,U Mukilesh,VB Kanchi Veerans,4.571,2,2,9,4.5,4.5,64.2857,
2018,U Vishal,VB Kanchi Veerans,4.0,1,1,25,25.0,25.0,119.0476,
2018,Uthirasamy Sasidev,Chepauk Super Gillies,4.6,7,7,100,14.2857,11.0,105.2632,100.0
2018,V Arun Kumar,Chepauk Super Gillies,4.667,2,2,1,0.5,0.5,33.3333,0.0
2018,V Subramania Siva,VB Kanchi Veerans,5.14,4,4,59,14.75,13.0,113.4615,33.3333
2018,Varun M Totadri,Dindigul Dragons,6.333,2,2,1,0.5,0.5,11.1111,33.3333
2018,Vijaykumar Yo Mahesh,IDream Tiruppur Tamizhans,6.556,4,4,19,4.75,2.5,73.0769,84.2105
2018,Wenseslaus Antony Dhas,Lyca Kovai Kings,3.762,8,8,86,10.75,7.5,107.5,124.2424
2018,Yamuna Sunny Kumar Singh,Chepauk Super Gillies,5.9,4,4,18,4.5,2.5,60.0,110.0
2019,A Aarif,Chepauk Super Gillies,4.808,4,4,23,5.75,3.5,88.4615,100.0
2019,A Venkatesh,SKM Salem Spartans,5.568,3,3,40,13.3333,10.0,108.1081,115.3846
2019,Abhishek Baljeetsingh Tanwar,Siechem Madurai Panthers,6.78,8,8,83,10.375,9.0,109.2105,146.0
2019,Adithya Ganesh,Trichy Grand Cholas,4.0,3,3,123,41.0,43.0,113.8889,111.7647
2019,Akash Sumra,Siechem Madurai Panthers,6.5,3,3,28,9.3333,10.0,100.0,111.7647
2019,Akkil Srinaath,Lyca Kovai Kings,5.158,6,6,119,19.8333,19.5,135.2273,137.8378
2019,Chandrasekar Ganapathy,Trichy Grand Cholas,4.414,5,5,44,8.8,9.0,75.8621,77.2727
2019,Jagatheesan Kousik,Siechem Madurai Panthers,4.609,8,8,195,24.375,24.0,122.6415,158.9286
2019,K Mani Bharathi,Trichy Grand Cholas,5.441,7,7,96,13.7143,14.0,162.7119,190.0
2019,M Shajahan,IDream Tiruppur Tamizhans,5.723,6,6,103,17.1667,14.0,110.7527,140.0
2019,M Suresh Babu,Lyca Kovai Kings,7.0,1,1,0,0.0,0.0,0.0,0.0
2019,MS Promoth,Siechem Madurai Panthers,6.0,1,1,1,1.0,1.0,20.0,
2019,MS Sanjay,Trichy Grand Cholas,6.0,1,1,1,1.0,1.0,25.0,25.0
2019,Maan K Bafna,IDream Tiruppur Tamizhans,3.914,7,7,65,9.2857,2.0,94.2029,125.0
2019,Malolan Rangarajan,Lyca Kovai Kings,4.561,5,5,48,9.6,11.0,133.3333,175.0
2019,Mohan Abhinav,Dindigul Dragons,6.0,4,4,37,9.25,8.0,74.0,50.0
2019,Muhammed Adnan Khan,Lyca Kovai Kings,3.75,2,2,2,1.0,1.0,50.0,
2019,Murugan Ashwin,Chepauk Super Gillies,5.853,7,7,88,12.5714,14.0,88.8889,136.1111
