season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2017,Uthirasamy Sasidev,119,158,4.53781512605042,8,1,Middle Order (4-5)
2017,V Subramania Siva,79,126,1.4177215189873418,6,0,Opener (1-2)
2017,Washington Sundar,297,459,1.0,9,1,Opener (1-2)
2017,Wenseslaus Antony Dhas,106,177,4.566037735849057,6,1,Middle Order (4-5)
2017,Wilkins Joseph Victor,75,71,5.226666666666667,5,0,Finisher (6+)
2017,Xavier Thalaivan Sargunam,234,229,2.128205128205128,10,1,Top Order (3)
2017,Yamuna Sunny Kumar Singh,18,10,7.555555555555555,5,0,Finisher (6+)
2018, Sriram Ajith Ram,18,32,8.777777777777779,4,1,Finisher (6+)
2018,Abhinav Mukund,244,256,1.6762295081967213,9,1,Opener (1-2)
2018,Abhishek Baljeetsingh Tanwar,75,88,6.426666666666667,8,1,Finisher (6+)
2018,Akash Sumra,21,13,5.857142857142857,4,0,Finisher (6+)
2018,Akkil Srinaath,79,101,5.0886075949367084,6,1,Finisher (6+)
2018,Ashwin Venkataraman,177,180,4.163841807909605,8,1,Middle Order (4-5)
2018,Baba Aparajith,129,129,3.2325581395348837,7,0,Middle Order (4-5)
2018,Baba Indrajith,147,166,2.496598639455782,7,0,Top Order (3)
2018,Balchander Anirudh,106,145,3.4622641509433962,7,1,Middle Order (4-5)
2018,Baskaran Rahul,83,92,5.108433734939759,5,0,Finisher (6+)
2018,Chandrasekar Ganapathy,39,63,5.076923076923077,6,0,Finisher (6+)
2018,Chezhian Nishaanth,166,250,1.4156626506024097,9,1,Opener (1-2)
2018,Ganga Sridhar Raju,74,67,2.175675675675676,6,0,Top Order (3)
2018,Hari Gopinath,144,176,2.7083333333333335,7,0,Top Order (3)
2018,Jagatheesan Kousik,114,167,4.728070175438597,8,1,Middle Order (4-5)
2018,K Mani Bharathi,105,100,3.7714285714285714,6,0,Middle Order (4-5)
2018,K Vishal Vaidhya,120,135,1.0833333333333333,6,0,Opener (1-2)
2018,Kaushik Mohan Gandhi,161,239,1.7826086956521738,7,0,Opener (1-2)
2018,Konda Bhaskir Arun Karthik,307,472,1.0,10,1,Opener (1-2)
2018,Kumaran Bharath Shankar,173,246,1.0,7,0,Opener (1-2)
2018,M Ganesh Moorthi,7,2,8.285714285714286,4,0,Finisher (6+)
2018,M Mohammed,56,79,6.75,5,1,Finisher (6+)
2018,M Prasanth Rajesh,75,92,6.8533333333333335,6,1,Finisher (6+)
2018,M Shajahan,84,118,4.785714285714286,7,1,Middle Order (4-5)
2018,Maan K Bafna,155,190,2.3741935483870966,8,1,Top Order (3)
2018,Malolan Rangarajan,44,52,6.795454545454546,5,0,Finisher (6+)
2018,Masood Shahrukh Khan,230,325,1.2608695652173914,9,1,Opener (1-2)
2018,Mohan Abhinav,26,30,6.6923076923076925,6,1,Finisher (6+)
2018,Murugan Ashwin,133,163,5.706766917293233,7,0,Finisher (6+)
2018,N Sarangarajan Chaturved,86,151,3.63953488372093,7,1,Middle Order (4-5)
2018,Narayan Jagadeesan,303,396,1.5940594059405941,9,1,Opener (1-2)
2018,P Francis Rokins,90,130,5.344444444444444,5,0,Finisher (6+)
