season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2019,Rajagopal Sathish,VB Kanchi Veerans,5.55,7,7,178,25.4,22.0,183.5,211.3,1.93,2.2,0.95,1.67,1.69,1
2019,Uthirasamy Sasidev,Chepauk Super Gillies,5.01,8,8,221,27.6,26.5,117.6,165.9,2.29,0.01,0.2,2.39,1.22,2
2019,Jagatheesan Kousik,Siechem Madurai Panthers,4.61,8,8,195,24.4,24.0,122.6,158.9,1.75,0.18,0.08,1.99,1.0,3
2019,Akkil Srinaath,Lyca Kovai Kings,5.16,6,6,119,19.8,19.5,135.2,137.8,1.01,0.6,-0.26,1.28,0.66,4
2019,K Mani Bharathi,Trichy Grand Cholas,5.44,7,7,96,13.7,14.0,162.7,190.0,0.01,1.51,0.6,0.4,0.63,5
2019,S Harish Kumar,Chepauk Super Gillies,5.99,9,9,150,16.7,10.0,161.3,188.6,0.5,1.46,0.57,-0.24,0.57,6
2019,Rajendran Vivek,Dindigul Dragons,4.83,9,9,121,13.4,11.0,153.2,172.4,-0.03,1.19,0.31,-0.08,0.35,7
2019,Wenseslaus Antony Dhas,Lyca Kovai Kings,4.94,6,6,119,19.8,9.5,148.8,106.7,1.01,1.05,-0.77,-0.31,0.24,8
2019,P Francis Rokins,VB Kanchi Veerans,5.91,4,4,33,8.2,3.0,103.1,357.1,-0.88,-0.47,3.34,-1.35,0.16,9
2019,M Shajahan,IDream Tiruppur Tamizhans,5.72,6,6,103,17.2,14.0,110.8,140.0,0.58,-0.22,-0.23,0.4,0.13,10
2019,R Nilesh Subramanian,Siechem Madurai Panthers,4.27,6,6,71,11.8,10.0,112.7,223.1,-0.29,-0.15,1.14,-0.24,0.11,11
2019,Malolan Rangarajan,Lyca Kovai Kings,4.56,5,5,48,9.6,11.0,133.3,175.0,-0.66,0.53,0.35,-0.08,0.04,12
2019,R Rajkumar,IDream Tiruppur Tamizhans,6.4,6,6,64,10.7,10.0,106.7,170.8,-0.48,-0.35,0.28,-0.24,-0.2,13
2019,S Senthil Nathan,SKM Salem Spartans,5.97,4,4,43,10.8,9.0,126.5,131.2,-0.47,0.31,-0.37,-0.39,-0.23,14
2019,Murugan Ashwin,Chepauk Super Gillies,5.85,7,7,88,12.6,14.0,88.9,136.1,-0.17,-0.94,-0.29,0.4,-0.25,15
2019,Sumant Jain,Dindigul Dragons,4.55,9,9,113,12.6,10.0,109.7,131.2,-0.18,-0.25,-0.37,-0.24,-0.26,16
2019,Abhishek Baljeetsingh Tanwar,Siechem Madurai Panthers,6.78,8,8,83,10.4,9.0,109.2,146.0,-0.53,-0.27,-0.13,-0.39,-0.33,17
2019,Sathiamoorty Vasanth Saravanan,SKM Salem Spartans,5.88,6,6,65,10.8,8.5,114.0,100.0,-0.46,-0.11,-0.88,-0.47,-0.48,18
2019,S Abishiek,SKM Salem Spartans,4.29,6,6,42,7.0,5.0,76.4,,-1.08,-1.36,0.0,-1.03,-0.87,19
2019,Chandrasekar Ganapathy,Trichy Grand Cholas,4.41,5,5,44,8.8,9.0,75.9,77.3,-0.79,-1.38,-1.26,-0.39,-0.95,20
2019,Vijaykumar Yo Mahesh,IDream Tiruppur Tamizhans,5.94,4,4,29,7.2,3.5,82.9,113.3,-1.04,-1.14,-0.66,-1.27,-1.03,21
2019,A Aarif,Chepauk Super Gillies,4.81,4,4,23,5.8,3.5,88.5,100.0,-1.29,-0.96,-0.88,-1.27,-1.1,22
2019,Mohan Abhinav,Dindigul Dragons,6.0,4,4,37,9.2,8.0,74.0,50.0,-0.72,-1.44,-1.71,-0.55,-1.1,23
2021,Masood Shahrukh Khan,Lyca Kovai Kings,5.37,7,7,210,30.0,26.0,178.0,209.8,2.04,2.17,1.45,1.56,1.81,1
2021,Jagatheesan Kousik,Siechem Madurai Panthers,4.84,7,7,165,23.6,29.0,131.0,213.9,1.11,0.48,1.55,1.94,1.27,2
2021,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.99,6,6,126,21.0,26.5,151.8,180.0,0.74,1.23,0.74,1.63,1.08,3
2021,Baba Indrajith,Nellai Royal Kings,5.48,5,5,123,24.6,26.0,130.9,175.0,1.26,0.48,0.62,1.56,0.98,4
2021,Rajendran Vivek,Dindigul Dragons,4.86,9,9,240,26.7,16.0,157.9,168.6,1.56,1.45,0.47,0.29,0.94,5
2021,Daryl Sunder Ferrario,SKM Salem Spartans,5.0,5,5,124,24.8,30.0,117.0,160.5,1.29,-0.02,0.28,2.07,0.9,6
2021,Adithya Ganesh,Trichy Grand Cholas,4.57,9,9,249,27.7,28.0,107.8,160.0,1.7,-0.36,0.26,1.82,0.86,7
2021,Abhishek Baljeetsingh Tanwar,Lyca Kovai Kings,6.94,6,6,88,14.7,13.0,176.0,184.8,-0.18,2.1,0.85,-0.09,0.67,8
2021,Maan K Bafna,IDream Tiruppur Tamizhans,4.01,7,7,180,25.7,16.0,109.1,169.2,1.42,-0.31,0.48,0.29,0.47,9
2021,Rajagopal Sathish,Chepauk Super Gillies,5.54,8,8,141,17.6,11.0,145.4,155.1,0.25,1.0,0.15,-0.35,0.26,10
2021,Arjun P Murthy,Nellai Royal Kings,5.53,4,4,45,11.2,5.0,166.7,189.5,-0.67,1.77,0.96,-1.11,0.24,11
2021,Wenseslaus Antony Dhas,Trichy Grand Cholas,5.16,7,7,109,15.6,13.0,123.9,148.2,-0.05,0.22,-0.02,-0.09,0.02,12
2021,Murugan Ashwin,SKM Salem Spartans,6.66,6,6,117,19.5,14.5,113.6,130.9,0.52,-0.15,-0.43,0.1,0.01,13
2021,S Harish Kumar,Chepauk Super Gillies,6.71,7,7,72,10.3,7.0,146.9,156.1,-0.81,1.05,0.17,-0.85,-0.11,14
2021,Uthirasamy Sasidev,Chepauk Super Gillies,4.57,9,9,163,18.1,18.0,108.7,107.1,0.32,-0.32,-1.0,0.54,-0.11,15
2021,P Francis Rokins,IDream Tiruppur Tamizhans,4.9,7,7,129,18.4,12.0,102.4,140.0,0.37,-0.55,-0.21,-0.22,-0.15,16
2021,RS Jaganath Sinivas,Chepauk Super Gillies,5.19,5,5,50,10.0,8.0,111.1,192.9,-0.86,-0.24,1.05,-0.73,-0.19,17
2021,RS Mokit Hariharan,Dindigul Dragons,4.86,9,9,117,13.0,6.0,110.4,152.5,-0.42,-0.26,0.08,-0.98,-0.4,18
2021,Ashwin Venkataraman,Lyca Kovai Kings,4.12,4,4,53,13.2,14.0,79.1,,-0.38,-1.39,-0.0,0.04,-0.43,19
2021,S Aravind,IDream Tiruppur Tamizhans,4.45,5,5,40,8.0,7.0,95.2,180.0,-1.15,-0.81,0.74,-0.85,-0.52,20
2021,M Mohammed,IDream Tiruppur Tamizhans,6.93,7,7,96,13.7,10.0,86.5,135.8,-0.32,-1.12,-0.31,-0.47,-0.56,21
2021,Ramsingh Sonu Yadav,Chepauk Super Gillies,5.63,5,5,42,8.4,7.0,107.7,150.0,-1.09,-0.36,0.02,-0.85,-0.57,22
2021,S Sujay,Chepauk Super Gillies,4.13,4,4,28,7.0,9.0,77.8,180.0,-1.29,-1.44,0.74,-0.6,-0.65,23
2021,Ravisrinivasan Sai Kishore,Chepauk Super Gillies,5.31,4,4,53,13.2,10.5,106.0,88.9,-0.38,-0.42,-1.43,-0.41,-0.66,24
2021,Tushar Raheja,IDream Tiruppur Tamizhans,4.41,5,5,42,8.4,9.0,87.5,150.0,-1.09,-1.09,0.02,-0.6,-0.69,25
